Airport,State,Flight_Phase,Height,Speed,Distance
UNKNOWN,,,0,,0.0
UNKNOWN,,,,,0.0
UNKNOWN,,,0,,0.0
UNKNOWN,,,,,0.0
UNKNOWN,,,,,0.0
UNKNOWN,,,0,110,0.0
UNKNOWN,,,,,0.0
UNKNOWN,,,,,0.0
MEMPHIS INTL,TN,,5000,170,20.0
MEMPHIS INTL,TN,,10000,250,20.0
MEMPHIS INTL,TN,,4700,245,20.0
ORLANDO INTL,FL,DEPARTURE,,,0.0
ORLANDO INTL,FL,LOCAL,,,0.0
ORLANDO INTL,FL,ARRIVAL,,,0.0
ORLANDO INTL,FL,,,,0.0
ORLANDO INTL,FL,,,,0.0
ORLANDO INTL,FL,,,,0.25
ORLANDO INTL,FL,ARRIVAL,,,0.0
ORLANDO INTL,FL,,,,0.0
ORLANDO INTL,FL,,,,0.0
ORLANDO INTL,FL,,,,0.0
ORLANDO INTL,FL,,,,0.0
ORLANDO INTL,FL,,,,0.0
ORLANDO INTL,FL,ARRIVAL,,,0.0
ORLANDO INTL,FL,DEPARTURE,,,0.0
ORLANDO INTL,FL,DEPARTURE,,,0.0
ORLANDO INTL,FL,,,,0.0
ORLANDO INTL,FL,DEPARTURE,,,0.0
ORLANDO INTL,FL,PARKED,0,0,0.0
ORLANDO INTL,FL,,,,0.0
ORLANDO INTL,FL,,,,0.0
ORLANDO INTL,FL,,,,0.0
NASHVILLE INTL,TN,,50,120,0.0
NASHVILLE INTL,TN,DEPARTURE,,,0.0
NASHVILLE INTL,TN,LOCAL,,,4.0
NASHVILLE INTL,TN,DEPARTURE,,,0.0
NASHVILLE INTL,TN,PARKED,0,0,0.0
EPPLEY AIRFIELD,NE,,5000,210,10.0
EPPLEY AIRFIELD,NE,,,,0.0
EPPLEY AIRFIELD,NE,,,,0.0
LA GUARDIA ARPT,NY,,,,0.0
LA GUARDIA ARPT,NY,,,,1.0
LA GUARDIA ARPT,NY,PARKED,0,0,0.0
LA GUARDIA ARPT,NY,,25,,0.0
LA GUARDIA ARPT,NY,PARKED,0,0,0.0
SACRAMENTO INTL,CA,,10000,280,8.0
SACRAMENTO INTL,CA,DEPARTURE,,,0.0
SACRAMENTO INTL,CA,DEPARTURE,,,0.0
SACRAMENTO INTL,CA,ARRIVAL,,,0.0
KANSAS CITY INTL,MO,LOCAL,3000,210,10.0
KANSAS CITY INTL,MO,,,,0.0
LOS ANGELES INTL,CA,,,,0.0
LOS ANGELES INTL,CA,DEPARTURE,,,0.0
LOS ANGELES INTL,CA,,,,0.0
LOS ANGELES INTL,CA,,0,,0.0
SAN ANTONIO INTL,TX,LOCAL,,,0.0
SAN ANTONIO INTL,TX,DEPARTURE,,,0.0
PHILADELPHIA INTL,PA,,,,0.0
PHILADELPHIA INTL,PA,DEPARTURE,,,0.0
TETERBORO AIRPORT,NJ,,,,0.0
TETERBORO AIRPORT,NJ,,,,0.0
TETERBORO AIRPORT,NJ,,,,0.0
TETERBORO AIRPORT,NJ,,,,0.0
HONOLULU INTL ARPT,HI,,0,160,0.0
HONOLULU INTL ARPT,HI,ARRIVAL,,,0.0
HONOLULU INTL ARPT,HI,PARKED,0,0,0.0
HONOLULU INTL ARPT,HI,PARKED,0,0,0.0
PORT COLUMBUS INTL,OH,,,,0.0
PORT COLUMBUS INTL,OH,DEPARTURE,,,0.0
PORT COLUMBUS INTL,OH,ARRIVAL,,,0.0
PORT COLUMBUS INTL,OH,,,,0.0
PORT COLUMBUS INTL,OH,LOCAL,,,0.0
